Main_Title,Sub_Title,Venue,Fees,Date
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Online,"$ 3,950",21 - 25 Dec 2025
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Online,"$ 3,950",18 - 22 May 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Online,"$ 3,950",21 - 25 Sep 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,London - UK,"$ 5,950",03 - 07 Nov 2025
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Milan - Italy,"$ 5,950",15 - 19 Dec 2025
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Riyadh - Saudi Arabia,"$ 5,950",21 - 25 Dec 2025
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Tokyo - Japan,"$ 6,950",02 - 06 Feb 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Amsterdam - The Netherlands,"$ 5,950",06 - 10 Apr 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Amsterdam - The Netherlands,"$ 5,950",18 - 22 May 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,London - UK,"$ 5,950",13 - 17 Jul 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Riyadh - Saudi Arabia,"$ 5,950",17 - 21 Aug 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Dubai - UAE,"$ 5,950",21 - 25 Sep 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,New York - USA,"$ 7,950",12 - 16 Oct 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,London - UK,"$ 5,950",02 - 06 Nov 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Milan - Italy,"$ 5,950",14 - 18 Dec 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Online,"$ 3,950",21 - 25 Dec 2025
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Online,"$ 3,950",18 - 22 May 2026
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,Online,"$ 3,950",21 - 25 Sep 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Milan - Italy,"$ 5,950",24 - 28 Nov 2025
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Dubai - UAE,"$ 5,950",22 - 26 Dec 2025
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Tokyo - Japan,"$ 6,950",02 - 06 Feb 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,London - UK,"$ 5,950",23 - 27 Feb 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,London - UK,"$ 5,950",27 Apr - 01 May 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Dubai - UAE,"$ 5,950",20 - 24 Jul 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,New York - USA,"$ 7,950",10 - 14 Aug 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Riyadh - Saudi Arabia,"$ 5,950",21 - 25 Sep 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Amsterdam - The Netherlands,"$ 5,950",05 - 09 Oct 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Milan - Italy,"$ 5,950",23 - 27 Nov 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Dubai - UAE,"$ 5,950",21 - 25 Dec 2026
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Online,"$ 3,950",21 - 25 Sep 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Milan - Italy,"$ 5,950",03 - 07 Nov 2025
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,London - UK,"$ 5,950",22 - 26 Dec 2025
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,London - UK,"$ 5,950",11 - 15 May 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Paris - France,"$ 5,950",20 - 24 Jul 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Dubai - UAE,"$ 5,950",31 Aug - 04 Sep 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Milan - Italy,"$ 5,950",02 - 06 Nov 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,London - UK,"$ 5,950",21 - 25 Dec 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Online,"$ 3,950",03 - 07 Nov 2025
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Online,"$ 3,950",11 - 15 May 2026
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Online,"$ 3,950",02 - 06 Nov 2026
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Riyadh - Saudi Arabia,"$ 5,950",17 - 21 Nov 2025
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,London - UK,"$ 5,950",22 - 26 Dec 2025
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Amsterdam - The Netherlands,"$ 5,950",13 - 17 Apr 2026
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Dubai - UAE,"$ 5,950",27 - 31 Jul 2026
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Paris - France,"$ 5,950",28 Sep - 02 Oct 2026
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Riyadh - Saudi Arabia,"$ 5,950",16 - 20 Nov 2026
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,London - UK,"$ 5,950",21 - 25 Dec 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Riyadh - Saudi Arabia,"$ 5,950",03 - 07 Nov 2025
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Dubai - UAE,"$ 5,950",01 - 05 Dec 2025
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,New York - USA,"$ 6,950",22 - 26 Dec 2025
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Dubai - UAE,"$ 5,950",09 - 13 Feb 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,London - UK,"$ 5,950",18 - 22 May 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Paris - France,"$ 5,950",03 - 07 Aug 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Dubai - UAE,"$ 5,950",19 - 23 Oct 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Riyadh - Saudi Arabia,"$ 5,950",02 - 06 Nov 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Dubai - UAE,"$ 5,950",30 Nov - 04 Dec 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,New York - USA,"$ 7,950",21 - 25 Dec 2026
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Online,"$ 3,950",19 - 23 Oct 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Doha - Qatar,"$ 5,950",24 - 28 Nov 2025
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Boston - USA,"$ 7,950",01 - 05 Dec 2025
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Nice - France,"$ 5,950",22 - 26 Dec 2025
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Amsterdam - The Netherlands,"$ 5,950",05 - 09 Jan 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Madrid - Spain,"$ 5,950",12 - 16 Jan 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Tokyo - Japan,"$ 6,950",02 - 06 Feb 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,London - UK,"$ 5,950",02 - 06 Mar 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",23 - 27 Mar 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,London - UK,"$ 5,950",06 - 10 Apr 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Riyadh - Saudi Arabia,"$ 5,950",11 - 15 May 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",15 - 19 Jun 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Barcelona - Spain,"$ 5,950",20 - 24 Jul 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",24 - 28 Aug 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,London - UK,"$ 5,950",07 - 11 Sep 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Abu Dhabi - UAE,"$ 5,950",21 - 25 Sep 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Lisbon - Portugal,"$ 5,950",28 Sep - 02 Oct 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Doha - Qatar,"$ 5,950",23 - 27 Nov 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Boston - USA,"$ 7,950",30 Nov - 04 Dec 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Nice - France,"$ 5,950",21 - 25 Dec 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Online,"$ 3,950",11 - 15 May 2026
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Online,"$ 3,950",07 - 11 Sep 2026
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",Riyadh - Saudi Arabia,"$ 5,950",03 - 07 Nov 2025
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",Dubai - UAE,"$ 5,950",22 - 26 Dec 2025
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",London - UK,"$ 5,950",30 Mar - 03 Apr 2026
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",Barcelona - Spain,"$ 5,950",27 - 31 Jul 2026
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",New York - USA,"$ 7,950",31 Aug - 04 Sep 2026
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",London - UK,"$ 5,950",05 - 09 Oct 2026
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",Riyadh - Saudi Arabia,"$ 5,950",02 - 06 Nov 2026
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",Dubai - UAE,"$ 5,950",21 - 25 Dec 2026
